nm				psi			delta
7.000000000000000000e+02 3.672872999999999877e+01 1.595102699999999913e+02
7.010000000000000000e+02 3.670848999999999762e+01 1.594893600000000049e+02
7.020000000000000000e+02 3.668824000000000041e+01 1.594689400000000035e+02
7.030000000000000000e+02 3.666799000000000319e+01 1.594524299999999926e+02
7.040000000000000000e+02 3.664634000000000214e+01 1.594359200000000101e+02
7.050000000000000000e+02 3.662040999999999968e+01 1.594194099999999992e+02
7.060000000000000000e+02 3.659447999999999723e+01 1.594028900000000135e+02
7.070000000000000000e+02 3.656855000000000189e+01 1.593863800000000026e+02
7.080000000000000000e+02 3.654263000000000261e+01 1.593724699999999928e+02
7.090000000000000000e+02 3.651670000000000016e+01 1.593617999999999881e+02
7.100000000000000000e+02 3.649076999999999771e+01 1.593511399999999867e+02
7.110000000000000000e+02 3.646484000000000236e+01 1.593404800000000137e+02
7.120000000000000000e+02 3.643872999999999962e+01 1.593298200000000122e+02
7.130000000000000000e+02 3.641165000000000163e+01 1.593191600000000108e+02
7.140000000000000000e+02 3.638457999999999970e+01 1.593120800000000088e+02
7.150000000000000000e+02 3.635750999999999777e+01 1.593068100000000129e+02
7.160000000000000000e+02 3.633044000000000295e+01 1.593015399999999886e+02
7.170000000000000000e+02 3.630337000000000103e+01 1.592962599999999895e+02
7.180000000000000000e+02 3.627629999999999910e+01 1.592909899999999936e+02
7.190000000000000000e+02 3.624922000000000111e+01 1.592857099999999946e+02
7.200000000000000000e+02 3.622214999999999918e+01 1.592825499999999863e+02
7.210000000000000000e+02 3.619006000000000256e+01 1.592799899999999980e+02
7.220000000000000000e+02 3.615735999999999706e+01 1.592774300000000096e+02
7.230000000000000000e+02 3.612465999999999866e+01 1.592748799999999960e+02
7.240000000000000000e+02 3.609197000000000344e+01 1.592723200000000077e+02
7.250000000000000000e+02 3.605926999999999794e+01 1.592697599999999909e+02
7.260000000000000000e+02 3.602656999999999954e+01 1.592679300000000069e+02
7.270000000000000000e+02 3.599387000000000114e+01 1.592663100000000043e+02
7.280000000000000000e+02 3.596117000000000274e+01 1.592646900000000016e+02
7.290000000000000000e+02 3.592835000000000178e+01 1.592630800000000022e+02
7.300000000000000000e+02 3.589535999999999660e+01 1.592614599999999996e+02
7.310000000000000000e+02 3.586236999999999853e+01 1.592598399999999970e+02
7.320000000000000000e+02 3.582938000000000045e+01 1.592609500000000082e+02
7.330000000000000000e+02 3.579639000000000237e+01 1.592635999999999967e+02
7.340000000000000000e+02 3.576339000000000112e+01 1.592662400000000105e+02
7.350000000000000000e+02 3.573040000000000305e+01 1.592688899999999990e+02
7.360000000000000000e+02 3.569740999999999786e+01 1.592715300000000127e+02
7.370000000000000000e+02 3.566441999999999979e+01 1.592741800000000012e+02
7.380000000000000000e+02 3.562901000000000096e+01 1.592769900000000121e+02
7.390000000000000000e+02 3.559282000000000323e+01 1.592800599999999918e+02
7.400000000000000000e+02 3.555662999999999840e+01 1.592831400000000031e+02
7.410000000000000000e+02 3.552044000000000068e+01 1.592862100000000112e+02
7.420000000000000000e+02 3.548425000000000296e+01 1.592892899999999941e+02
7.430000000000000000e+02 3.544805999999999813e+01 1.592923700000000053e+02
7.440000000000000000e+02 3.541187000000000040e+01 1.592954699999999946e+02
7.450000000000000000e+02 3.537568000000000268e+01 1.593012799999999913e+02
7.460000000000000000e+02 3.533948999999999785e+01 1.593070800000000133e+02
7.470000000000000000e+02 3.529959000000000202e+01 1.593128900000000101e+02
7.480000000000000000e+02 3.525919999999999987e+01 1.593186900000000037e+02
7.490000000000000000e+02 3.521880999999999773e+01 1.593245000000000005e+02
7.500000000000000000e+02 3.517840999999999951e+01 1.593303099999999972e+02
7.510000000000000000e+02 3.513801999999999737e+01 1.593903699999999901e+02
7.520000000000000000e+02 3.509761999999999915e+01 1.595047000000000139e+02
7.530000000000000000e+02 3.505722999999999701e+01 1.596190300000000093e+02
7.540000000000000000e+02 3.501682999999999879e+01 1.597333600000000047e+02
7.550000000000000000e+02 3.497643999999999664e+01 1.598476900000000001e+02
7.560000000000000000e+02 3.493524000000000029e+01 1.599620199999999954e+02
7.570000000000000000e+02 3.489381999999999806e+01 1.600763499999999908e+02
7.580000000000000000e+02 3.485240999999999900e+01 1.601976500000000101e+02
7.590000000000000000e+02 3.481098999999999677e+01 1.603201400000000092e+02
7.600000000000000000e+02 3.476957999999999771e+01 1.604426400000000115e+02
7.610000000000000000e+02 3.472816000000000258e+01 1.605651300000000106e+02
7.620000000000000000e+02 3.468674000000000035e+01 1.606876300000000128e+02
7.630000000000000000e+02 3.464533000000000129e+01 1.608101200000000119e+02
7.640000000000000000e+02 3.460390999999999906e+01 1.609328999999999894e+02
7.650000000000000000e+02 3.455942000000000291e+01 1.610595800000000111e+02
7.660000000000000000e+02 3.451145999999999958e+01 1.611862600000000043e+02
7.670000000000000000e+02 3.446350999999999942e+01 1.613129299999999944e+02
7.680000000000000000e+02 3.441555999999999926e+01 1.614396099999999876e+02
7.690000000000000000e+02 3.436760999999999910e+01 1.615662900000000093e+02
7.700000000000000000e+02 3.431965999999999894e+01 1.616929599999999994e+02
7.710000000000000000e+02 3.427170999999999879e+01 1.618206900000000132e+02
7.720000000000000000e+02 3.422375000000000256e+01 1.619550199999999904e+02
7.730000000000000000e+02 3.417580000000000240e+01 1.620893499999999960e+02
7.740000000000000000e+02 3.412785000000000224e+01 1.622236800000000017e+02
7.750000000000000000e+02 3.407679999999999865e+01 1.623580100000000073e+02
7.760000000000000000e+02 3.402548000000000172e+01 1.624923400000000129e+02
7.770000000000000000e+02 3.397417000000000087e+01 1.626266699999999901e+02
7.780000000000000000e+02 3.392284999999999684e+01 1.627607999999999890e+02
7.790000000000000000e+02 3.387152999999999992e+01 1.628916399999999953e+02
7.800000000000000000e+02 3.382021000000000299e+01 1.630224800000000016e+02
7.810000000000000000e+02 3.376888999999999896e+01 1.631533200000000079e+02
7.820000000000000000e+02 3.371757999999999811e+01 1.632841600000000142e+02
7.830000000000000000e+02 3.366626000000000118e+01 1.634149999999999920e+02
7.840000000000000000e+02 3.361464000000000141e+01 1.635458399999999983e+02
7.850000000000000000e+02 3.356092999999999904e+01 1.636766800000000046e+02
7.860000000000000000e+02 3.350721999999999667e+01 1.638055099999999982e+02
7.870000000000000000e+02 3.345351999999999748e+01 1.639339200000000005e+02
7.880000000000000000e+02 3.339981000000000222e+01 1.640623300000000029e+02
7.890000000000000000e+02 3.334611000000000303e+01 1.641907400000000052e+02
7.900000000000000000e+02 3.329240000000000066e+01 1.643191500000000076e+02
