
# Surface 0 of 1 surfaces

# Curve title: ""k_PS2_Pt_d.dat" u 1:($2+1.88):3"

# IsoCurve 0, 611 points
# x y z type
9.1000000e+01 -1.4267000e+01 0.0000000e+00 i
9.1000000e+01 -1.4217000e+01 0.0000000e+00 i
9.1000000e+01 -1.4167000e+01 0.0000000e+00 i
9.1000000e+01 -1.4117000e+01 0.0000000e+00 i
9.1000000e+01 -1.4067000e+01 0.0000000e+00 i
9.1000000e+01 -1.4017000e+01 0.0000000e+00 i
9.1000000e+01 -1.3967000e+01 0.0000000e+00 i
9.1000000e+01 -1.3917000e+01 0.0000000e+00 i
9.1000000e+01 -1.3867000e+01 0.0000000e+00 i
9.1000000e+01 -1.3817000e+01 0.0000000e+00 i
9.1000000e+01 -1.3767000e+01 0.0000000e+00 i
9.1000000e+01 -1.3717000e+01 0.0000000e+00 i
9.1000000e+01 -1.3667000e+01 0.0000000e+00 i
9.1000000e+01 -1.3617000e+01 0.0000000e+00 i
9.1000000e+01 -1.3567000e+01 0.0000000e+00 i
9.1000000e+01 -1.3517000e+01 0.0000000e+00 i
9.1000000e+01 -1.3467000e+01 0.0000000e+00 i
9.1000000e+01 -1.3417000e+01 0.0000000e+00 i
9.1000000e+01 -1.3367000e+01 0.0000000e+00 i
9.1000000e+01 -1.3317000e+01 0.0000000e+00 i
9.1000000e+01 -1.3267000e+01 0.0000000e+00 i
9.1000000e+01 -1.3217000e+01 0.0000000e+00 i
9.1000000e+01 -1.3167000e+01 0.0000000e+00 i
9.1000000e+01 -1.3117000e+01 0.0000000e+00 i
9.1000000e+01 -1.3067000e+01 0.0000000e+00 i
9.1000000e+01 -1.3017000e+01 0.0000000e+00 i
9.1000000e+01 -1.2967000e+01 0.0000000e+00 i
9.1000000e+01 -1.2917000e+01 0.0000000e+00 i
9.1000000e+01 -1.2867000e+01 0.0000000e+00 i
9.1000000e+01 -1.2817000e+01 0.0000000e+00 i
9.1000000e+01 -1.2767000e+01 0.0000000e+00 i
9.1000000e+01 -1.2717000e+01 0.0000000e+00 i
9.1000000e+01 -1.2667000e+01 0.0000000e+00 i
9.1000000e+01 -1.2617000e+01 0.0000000e+00 i
9.1000000e+01 -1.2567000e+01 3.6100000e-15 i
9.1000000e+01 -1.2517000e+01 1.2800000e-11 i
