
# Surface 0 of 1 surfaces

# Curve title: ""k_PS2_S_p.dat" u 1:($2+1.9):3"

# IsoCurve 0, 611 points
# x y z type
9.1000000e+01 -1.4247000e+01 0.0000000e+00 i
9.1000000e+01 -1.4197000e+01 0.0000000e+00 i
9.1000000e+01 -1.4147000e+01 0.0000000e+00 i
9.1000000e+01 -1.4097000e+01 0.0000000e+00 i
9.1000000e+01 -1.4047000e+01 0.0000000e+00 i
9.1000000e+01 -1.3997000e+01 0.0000000e+00 i
9.1000000e+01 -1.3947000e+01 0.0000000e+00 i
9.1000000e+01 -1.3897000e+01 0.0000000e+00 i
9.1000000e+01 -1.3847000e+01 0.0000000e+00 i
9.1000000e+01 -1.3797000e+01 0.0000000e+00 i
9.1000000e+01 -1.3747000e+01 0.0000000e+00 i
9.1000000e+01 -1.3697000e+01 0.0000000e+00 i
9.1000000e+01 -1.3647000e+01 0.0000000e+00 i
9.1000000e+01 -1.3597000e+01 0.0000000e+00 i
9.1000000e+01 -1.3547000e+01 0.0000000e+00 i
9.1000000e+01 -1.3497000e+01 0.0000000e+00 i
9.1000000e+01 -1.3447000e+01 0.0000000e+00 i
9.1000000e+01 -1.3397000e+01 0.0000000e+00 i
9.1000000e+01 -1.3347000e+01 0.0000000e+00 i
9.1000000e+01 -1.3297000e+01 0.0000000e+00 i
9.1000000e+01 -1.3247000e+01 0.0000000e+00 i
9.1000000e+01 -1.3197000e+01 0.0000000e+00 i
9.1000000e+01 -1.3147000e+01 0.0000000e+00 i
9.1000000e+01 -1.3097000e+01 0.0000000e+00 i
9.1000000e+01 -1.3047000e+01 0.0000000e+00 i
9.1000000e+01 -1.2997000e+01 0.0000000e+00 i
9.1000000e+01 -1.2947000e+01 0.0000000e+00 i
9.1000000e+01 -1.2897000e+01 0.0000000e+00 i
9.1000000e+01 -1.2847000e+01 0.0000000e+00 i
9.1000000e+01 -1.2797000e+01 0.0000000e+00 i
9.1000000e+01 -1.2747000e+01 0.0000000e+00 i
9.1000000e+01 -1.2697000e+01 0.0000000e+00 i
9.1000000e+01 -1.2647000e+01 0.0000000e+00 i
9.1000000e+01 -1.2597000e+01 0.0000000e+00 i
9.1000000e+01 -1.2547000e+01 1.4000000e-16 i
9.1000000e+01 -1.2497000e+01 5.0200000e-13 i
9.1000000e+01 -1.2447000e+01 6.0300000e-10 i
9.1000000e+01 -1.2397000e+01 2.4100000e-07 i
9.1000000e+01 -1.2347000e+01 3.1900000e-05 i
9.1000000e+01 -1.2297000e+01 1.3800000e-03 i
9.1000000e+01 -1.2247000e+01 1.9000000e-02 i
9.1000000e+01 -1.2197000e+01 8.0000000e-02 i
9.1000000e+01 -1.2147000e+01 8.9600000e-02 i
9.1000000e+01 -1.2097000e+01 8.1800000e-03 i
9.1000000e+01 -1.2047000e+01 -1.1500000e-02 i
9.1000000e+01 -1.1997000e+01 -2.0400000e-03 i
9.1000000e+01 -1.1947000e+01 -8.7500000e-05 i
9.1000000e+01 -1.1897000e+01 -1.1200000e-06 i
