
# Surface 0 of 1 surfaces

# Curve title: ""k_PS2_dos_tot.dat" u 1:($2+2.22):4"

# IsoCurve 0, 656 points
# x y z type
9.1000000e+01 -1.4332000e+01 0.0000000e+00 i
9.1000000e+01 -1.4282000e+01 0.0000000e+00 i
9.1000000e+01 -1.4232000e+01 0.0000000e+00 i
9.1000000e+01 -1.4182000e+01 0.0000000e+00 i
9.1000000e+01 -1.4132000e+01 0.0000000e+00 i
9.1000000e+01 -1.4082000e+01 0.0000000e+00 i
9.1000000e+01 -1.4032000e+01 0.0000000e+00 i
9.1000000e+01 -1.3982000e+01 0.0000000e+00 i
9.1000000e+01 -1.3932000e+01 0.0000000e+00 i
9.1000000e+01 -1.3882000e+01 0.0000000e+00 i
9.1000000e+01 -1.3832000e+01 0.0000000e+00 i
9.1000000e+01 -1.3782000e+01 0.0000000e+00 i
9.1000000e+01 -1.3732000e+01 0.0000000e+00 i
9.1000000e+01 -1.3682000e+01 2.9500000e-12 i
9.1000000e+01 -1.3632000e+01 5.8600000e-09 i
9.1000000e+01 -1.3582000e+01 3.8800000e-06 i
9.1000000e+01 -1.3532000e+01 8.5100000e-04 i
9.1000000e+01 -1.3482000e+01 6.1400000e-02 i
9.1000000e+01 -1.3432000e+01 1.4300000e+00 i
9.1000000e+01 -1.3382000e+01 1.0500000e+01 i
9.1000000e+01 -1.3332000e+01 2.2100000e+01 i
9.1000000e+01 -1.3282000e+01 9.7200000e+00 i
9.1000000e+01 -1.3232000e+01 -2.5200000e+00 i
9.1000000e+01 -1.3182000e+01 -1.1900000e+00 i
9.1000000e+01 -1.3132000e+01 -9.3400000e-02 i
9.1000000e+01 -1.3082000e+01 -2.0500000e-03 i
9.1000000e+01 -1.3032000e+01 -1.3900000e-05 i
9.1000000e+01 -1.2982000e+01 -3.0500000e-08 i
9.1000000e+01 -1.2932000e+01 0.0000000e+00 i
9.1000000e+01 -1.2882000e+01 0.0000000e+00 i
9.1000000e+01 -1.2832000e+01 0.0000000e+00 i
9.1000000e+01 -1.2782000e+01 0.0000000e+00 i
9.1000000e+01 -1.2732000e+01 0.0000000e+00 i
9.1000000e+01 -1.2682000e+01 0.0000000e+00 i
9.1000000e+01 -1.2632000e+01 0.0000000e+00 i
9.1000000e+01 -1.2582000e+01 2.3700000e-14 i
9.1000000e+01 -1.2532000e+01 8.7700000e-11 i
9.1000000e+01 -1.2482000e+01 1.0900000e-07 i
9.1000000e+01 -1.2432000e+01 4.4800000e-05 i
9.1000000e+01 -1.2382000e+01 6.1100000e-03 i
9.1000000e+01 -1.2332000e+01 2.7200000e-01 i
9.1000000e+01 -1.2282000e+01 3.8800000e+00 i
9.1000000e+01 -1.2232000e+01 1.6900000e+01 i
9.1000000e+01 -1.2182000e+01 1.9800000e+01 i
9.1000000e+01 -1.2132000e+01 3.5100000e+00 i
9.1000000e+01 -1.2082000e+01 4.6700000e+00 i
9.1000000e+01 -1.2032000e+01 1.0300000e+01 i
9.1000000e+01 -1.1982000e+01 3.0200000e+00 i
9.1000000e+01 -1.1932000e+01 3.4900000e+00 i
9.1000000e+01 -1.1882000e+01 1.0800000e+01 i
9.1000000e+01 -1.1832000e+01 7.2700000e+00 i
9.1000000e+01 -1.1782000e+01 1.1000000e+01 i
9.1000000e+01 -1.1732000e+01 2.1400000e+01 i
9.1000000e+01 -1.1682000e+01 7.3500000e+00 i
9.1000000e+01 -1.1632000e+01 -2.7300000e+00 i
9.1000000e+01 -1.1582000e+01 -9.5100000e-01 i
9.1000000e+01 -1.1532000e+01 -6.3400000e-02 i
9.1000000e+01 -1.1482000e+01 -1.2100000e-03 i
9.1000000e+01 -1.1432000e+01 -7.1700000e-06 i
9.1000000e+01 -1.1382000e+01 -1.3700000e-08 i
9.1000000e+01 -1.1332000e+01 0.0000000e+00 i
9.1000000e+01 -1.1282000e+01 0.0000000e+00 i
9.1000000e+01 -1.1232000e+01 0.0000000e+00 i
9.1000000e+01 -1.1182000e+01 0.0000000e+00 i
9.1000000e+01 -1.1132000e+01 0.0000000e+00 i
9.1000000e+01 -1.1082000e+01 0.0000000e+00 i
9.1000000e+01 -1.1032000e+01 0.0000000e+00 i
9.1000000e+01 -1.0982000e+01 0.0000000e+00 i
9.1000000e+01 -1.0932000e+01 0.0000000e+00 i
9.1000000e+01 -1.0882000e+01 0.0000000e+00 i
9.1000000e+01 -1.0832000e+01 0.0000000e+00 i
9.1000000e+01 -1.0782000e+01 0.0000000e+00 i
9.1000000e+01 -1.0732000e+01 0.0000000e+00 i
9.1000000e+01 -1.0682000e+01 0.0000000e+00 i
9.1000000e+01 -1.0632000e+01 0.0000000e+00 i
9.1000000e+01 -1.0582000e+01 0.0000000e+00 i
9.1000000e+01 -1.0532000e+01 0.0000000e+00 i
9.1000000e+01 -1.0482000e+01 0.0000000e+00 i
9.1000000e+01 -1.0432000e+01 0.0000000e+00 i
9.1000000e+01 -1.0382000e+01 0.0000000e+00 i
9.1000000e+01 -1.0332000e+01 0.0000000e+00 i
9.1000000e+01 -1.0282000e+01 0.0000000e+00 i
9.1000000e+01 -1.0232000e+01 0.0000000e+00 i
9.1000000e+01 -1.0182000e+01 0.0000000e+00 i
9.1000000e+01 -1.0132000e+01 0.0000000e+00 i
9.1000000e+01 -1.0082000e+01 0.0000000e+00 i
9.1000000e+01 -1.0032000e+01 0.0000000e+00 i
9.1000000e+01 -9.9820000e+00 0.0000000e+00 i
9.1000000e+01 -9.9320000e+00 0.0000000e+00 i
9.1000000e+01 -9.8820000e+00 0.0000000e+00 i
9.1000000e+01 -9.8320000e+00 0.0000000e+00 i
9.1000000e+01 -9.7820000e+00 0.0000000e+00 i
9.1000000e+01 -9.7320000e+00 0.0000000e+00 i
9.1000000e+01 -9.6820000e+00 0.0000000e+00 i
9.1000000e+01 -9.6320000e+00 0.0000000e+00 i
9.1000000e+01 -9.5820000e+00 0.0000000e+00 i
9.1000000e+01 -9.5320000e+00 0.0000000e+00 i
9.1000000e+01 -9.4820000e+00 0.0000000e+00 i
9.1000000e+01 -9.4320000e+00 0.0000000e+00 i
9.1000000e+01 -9.3820000e+00 0.0000000e+00 i
9.1000000e+01 -9.3320000e+00 0.0000000e+00 i
9.1000000e+01 -9.2820000e+00 0.0000000e+00 i
9.1000000e+01 -9.2320000e+00 0.0000000e+00 i
9.1000000e+01 -9.1820000e+00 0.0000000e+00 i
9.1000000e+01 -9.1320000e+00 0.0000000e+00 i
9.1000000e+01 -9.0820000e+00 0.0000000e+00 i
9.1000000e+01 -9.0320000e+00 0.0000000e+00 i
9.1000000e+01 -8.9820000e+00 0.0000000e+00 i
9.1000000e+01 -8.9320000e+00 0.0000000e+00 i
9.1000000e+01 -8.8820000e+00 0.0000000e+00 i
9.1000000e+01 -8.8320000e+00 0.0000000e+00 i
9.1000000e+01 -8.7820000e+00 0.0000000e+00 i
9.1000000e+01 -8.7320000e+00 0.0000000e+00 i
9.1000000e+01 -8.6820000e+00 0.0000000e+00 i
9.1000000e+01 -8.6320000e+00 0.0000000e+00 i
9.1000000e+01 -8.5820000e+00 0.0000000e+00 i
9.1000000e+01 -8.5320000e+00 0.0000000e+00 i
9.1000000e+01 -8.4820000e+00 0.0000000e+00 i
9.1000000e+01 -8.4320000e+00 0.0000000e+00 i
9.1000000e+01 -8.3820000e+00 0.0000000e+00 i
9.1000000e+01 -8.3320000e+00 0.0000000e+00 i
9.1000000e+01 -8.2820000e+00 0.0000000e+00 i
9.1000000e+01 -8.2320000e+00 0.0000000e+00 i
9.1000000e+01 -8.1820000e+00 0.0000000e+00 i
9.1000000e+01 -8.1320000e+00 0.0000000e+00 i
9.1000000e+01 -8.0820000e+00 0.0000000e+00 i
9.1000000e+01 -8.0320000e+00 0.0000000e+00 i
9.1000000e+01 -7.9820000e+00 0.0000000e+00 i
9.1000000e+01 -7.9320000e+00 0.0000000e+00 i
9.1000000e+01 -7.8820000e+00 0.0000000e+00 i
9.1000000e+01 -7.8320000e+00 0.0000000e+00 i
9.1000000e+01 -7.7820000e+00 0.0000000e+00 i
9.1000000e+01 -7.7320000e+00 0.0000000e+00 i
9.1000000e+01 -7.6820000e+00 0.0000000e+00 i
9.1000000e+01 -7.6320000e+00 0.0000000e+00 i
9.1000000e+01 -7.5820000e+00 0.0000000e+00 i
9.1000000e+01 -7.5320000e+00 0.0000000e+00 i
9.1000000e+01 -7.4820000e+00 0.0000000e+00 i
9.1000000e+01 -7.4320000e+00 0.0000000e+00 i
9.1000000e+01 -7.3820000e+00 0.0000000e+00 i
9.1000000e+01 -7.3320000e+00 0.0000000e+00 i
9.1000000e+01 -7.2820000e+00 0.0000000e+00 i
9.1000000e+01 -7.2320000e+00 0.0000000e+00 i
9.1000000e+01 -7.1820000e+00 0.0000000e+00 i
9.1000000e+01 -7.1320000e+00 0.0000000e+00 i
9.1000000e+01 -7.0820000e+00 0.0000000e+00 i
9.1000000e+01 -7.0320000e+00 0.0000000e+00 i
9.1000000e+01 -6.9820000e+00 0.0000000e+00 i
9.1000000e+01 -6.9320000e+00 0.0000000e+00 i
9.1000000e+01 -6.8820000e+00 0.0000000e+00 i
9.1000000e+01 -6.8320000e+00 0.0000000e+00 i
9.1000000e+01 -6.7820000e+00 0.0000000e+00 i
9.1000000e+01 -6.7320000e+00 0.0000000e+00 i
9.1000000e+01 -6.6820000e+00 0.0000000e+00 i
9.1000000e+01 -6.6320000e+00 0.0000000e+00 i
9.1000000e+01 -6.5820000e+00 0.0000000e+00 i
9.1000000e+01 -6.5320000e+00 0.0000000e+00 i
9.1000000e+01 -6.4820000e+00 0.0000000e+00 i
9.1000000e+01 -6.4320000e+00 0.0000000e+00 i
9.1000000e+01 -6.3820000e+00 0.0000000e+00 i
9.1000000e+01 -6.3320000e+00 0.0000000e+00 i
9.1000000e+01 -6.2820000e+00 0.0000000e+00 i
9.1000000e+01 -6.2320000e+00 0.0000000e+00 i
9.1000000e+01 -6.1820000e+00 0.0000000e+00 i
9.1000000e+01 -6.1320000e+00 0.0000000e+00 i
9.1000000e+01 -6.0820000e+00 0.0000000e+00 i
9.1000000e+01 -6.0320000e+00 0.0000000e+00 i
9.1000000e+01 -5.9820000e+00 0.0000000e+00 i
9.1000000e+01 -5.9320000e+00 9.7300000e-13 i
9.1000000e+01 -5.8820000e+00 2.0400000e-09 i
9.1000000e+01 -5.8320000e+00 1.4300000e-06 i
9.1000000e+01 -5.7820000e+00 3.3200000e-04 i
9.1000000e+01 -5.7320000e+00 2.5300000e-02 i
9.1000000e+01 -5.6820000e+00 6.2700000e-01 i
9.1000000e+01 -5.6320000e+00 4.8700000e+00 i
9.1000000e+01 -5.5820000e+00 1.1100000e+01 i
9.1000000e+01 -5.5320000e+00 6.6100000e+00 i
9.1000000e+01 -5.4820000e+00 8.4900000e+00 i
9.1000000e+01 -5.4320000e+00 2.1400000e+01 i
9.1000000e+01 -5.3820000e+00 1.1300000e+01 i
9.1000000e+01 -5.3320000e+00 3.3000000e+00 i
9.1000000e+01 -5.2820000e+00 1.7300000e+01 i
9.1000000e+01 -5.2320000e+00 1.6900000e+01 i
