
# Surface 0 of 1 surfaces

# Curve title: ""k_PtSe2_pdos_Pt_d.dat""

# IsoCurve 0, 601 points
# x y z type
9.1000000e+01 -1.4965000e+01 0.0000000e+00 i
9.1000000e+01 -1.4915000e+01 0.0000000e+00 i
9.1000000e+01 -1.4865000e+01 0.0000000e+00 i
9.1000000e+01 -1.4815000e+01 0.0000000e+00 i
9.1000000e+01 -1.4765000e+01 0.0000000e+00 i
9.1000000e+01 -1.4715000e+01 0.0000000e+00 i
9.1000000e+01 -1.4665000e+01 0.0000000e+00 i
9.1000000e+01 -1.4615000e+01 0.0000000e+00 i
9.1000000e+01 -1.4565000e+01 0.0000000e+00 i
9.1000000e+01 -1.4515000e+01 0.0000000e+00 i
9.1000000e+01 -1.4465000e+01 0.0000000e+00 i
9.1000000e+01 -1.4415000e+01 0.0000000e+00 i
9.1000000e+01 -1.4365000e+01 0.0000000e+00 i
9.1000000e+01 -1.4315000e+01 0.0000000e+00 i
9.1000000e+01 -1.4265000e+01 0.0000000e+00 i
9.1000000e+01 -1.4215000e+01 0.0000000e+00 i
9.1000000e+01 -1.4165000e+01 0.0000000e+00 i
9.1000000e+01 -1.4115000e+01 0.0000000e+00 i
9.1000000e+01 -1.4065000e+01 0.0000000e+00 i
9.1000000e+01 -1.4015000e+01 0.0000000e+00 i
9.1000000e+01 -1.3965000e+01 0.0000000e+00 i
9.1000000e+01 -1.3915000e+01 0.0000000e+00 i
9.1000000e+01 -1.3865000e+01 0.0000000e+00 i
9.1000000e+01 -1.3815000e+01 0.0000000e+00 i
9.1000000e+01 -1.3765000e+01 0.0000000e+00 i
9.1000000e+01 -1.3715000e+01 0.0000000e+00 i
9.1000000e+01 -1.3665000e+01 0.0000000e+00 i
9.1000000e+01 -1.3615000e+01 0.0000000e+00 i
9.1000000e+01 -1.3565000e+01 0.0000000e+00 i
9.1000000e+01 -1.3515000e+01 2.6600000e-13 i
9.1000000e+01 -1.3465000e+01 5.2000000e-10 i
9.1000000e+01 -1.3415000e+01 3.3800000e-07 i
9.1000000e+01 -1.3365000e+01 7.2900000e-05 i
9.1000000e+01 -1.3315000e+01 5.1700000e-03 i
9.1000000e+01 -1.3265000e+01 1.1900000e-01 i
9.1000000e+01 -1.3215000e+01 8.5100000e-01 i
9.1000000e+01 -1.3165000e+01 1.7600000e+00 i
9.1000000e+01 -1.3115000e+01 7.5000000e-01 i
9.1000000e+01 -1.3065000e+01 -2.0400000e-01 i
9.1000000e+01 -1.3015000e+01 -9.2500000e-02 i
9.1000000e+01 -1.2965000e+01 -7.0900000e-03 i
9.1000000e+01 -1.2915000e+01 -1.5300000e-04 i
9.1000000e+01 -1.2865000e+01 -1.0200000e-06 i
9.1000000e+01 -1.2815000e+01 -2.2000000e-09 i
9.1000000e+01 -1.2765000e+01 0.0000000e+00 i
9.1000000e+01 -1.2715000e+01 0.0000000e+00 i
9.1000000e+01 -1.2665000e+01 0.0000000e+00 i
9.1000000e+01 -1.2615000e+01 0.0000000e+00 i
9.1000000e+01 -1.2565000e+01 0.0000000e+00 i
9.1000000e+01 -1.2515000e+01 0.0000000e+00 i
9.1000000e+01 -1.2465000e+01 0.0000000e+00 i
9.1000000e+01 -1.2415000e+01 0.0000000e+00 i
9.1000000e+01 -1.2365000e+01 0.0000000e+00 i
9.1000000e+01 -1.2315000e+01 0.0000000e+00 i
9.1000000e+01 -1.2265000e+01 0.0000000e+00 i
9.1000000e+01 -1.2215000e+01 0.0000000e+00 i
9.1000000e+01 -1.2165000e+01 0.0000000e+00 i
9.1000000e+01 -1.2115000e+01 0.0000000e+00 i
9.1000000e+01 -1.2065000e+01 0.0000000e+00 i
9.1000000e+01 -1.2015000e+01 0.0000000e+00 i
9.1000000e+01 -1.1965000e+01 0.0000000e+00 i
9.1000000e+01 -1.1915000e+01 0.0000000e+00 i
