
# Surface 0 of 1 surfaces

# Curve title: ""k_PtSe2_pdos_Se_p.dat" u 1:($2+0.0461):3"

# IsoCurve 0, 601 points
# x y z type
9.1000000e+01 -1.4918900e+01 0.0000000e+00 i
9.1000000e+01 -1.4868900e+01 0.0000000e+00 i
9.1000000e+01 -1.4818900e+01 0.0000000e+00 i
9.1000000e+01 -1.4768900e+01 0.0000000e+00 i
9.1000000e+01 -1.4718900e+01 0.0000000e+00 i
9.1000000e+01 -1.4668900e+01 0.0000000e+00 i
9.1000000e+01 -1.4618900e+01 0.0000000e+00 i
9.1000000e+01 -1.4568900e+01 0.0000000e+00 i
9.1000000e+01 -1.4518900e+01 0.0000000e+00 i
9.1000000e+01 -1.4468900e+01 0.0000000e+00 i
9.1000000e+01 -1.4418900e+01 0.0000000e+00 i
9.1000000e+01 -1.4368900e+01 0.0000000e+00 i
9.1000000e+01 -1.4318900e+01 0.0000000e+00 i
9.1000000e+01 -1.4268900e+01 0.0000000e+00 i
9.1000000e+01 -1.4218900e+01 0.0000000e+00 i
9.1000000e+01 -1.4168900e+01 0.0000000e+00 i
9.1000000e+01 -1.4118900e+01 0.0000000e+00 i
9.1000000e+01 -1.4068900e+01 0.0000000e+00 i
9.1000000e+01 -1.4018900e+01 0.0000000e+00 i
9.1000000e+01 -1.3968900e+01 0.0000000e+00 i
9.1000000e+01 -1.3918900e+01 0.0000000e+00 i
9.1000000e+01 -1.3868900e+01 0.0000000e+00 i
9.1000000e+01 -1.3818900e+01 0.0000000e+00 i
9.1000000e+01 -1.3768900e+01 0.0000000e+00 i
9.1000000e+01 -1.3718900e+01 0.0000000e+00 i
9.1000000e+01 -1.3668900e+01 0.0000000e+00 i
9.1000000e+01 -1.3618900e+01 0.0000000e+00 i
9.1000000e+01 -1.3568900e+01 0.0000000e+00 i
9.1000000e+01 -1.3518900e+01 0.0000000e+00 i
9.1000000e+01 -1.3468900e+01 6.8400000e-15 i
9.1000000e+01 -1.3418900e+01 1.3400000e-11 i
9.1000000e+01 -1.3368900e+01 8.7100000e-09 i
9.1000000e+01 -1.3318900e+01 1.8800000e-06 i
9.1000000e+01 -1.3268900e+01 1.3400000e-04 i
9.1000000e+01 -1.3218900e+01 3.0700000e-03 i
9.1000000e+01 -1.3168900e+01 2.2100000e-02 i
9.1000000e+01 -1.3118900e+01 4.5900000e-02 i
9.1000000e+01 -1.3068900e+01 1.9600000e-02 i
9.1000000e+01 -1.3018900e+01 -5.3000000e-03 i
9.1000000e+01 -1.2968900e+01 -2.4100000e-03 i
9.1000000e+01 -1.2918900e+01 -1.8500000e-04 i
9.1000000e+01 -1.2868900e+01 -4.0000000e-06 i
9.1000000e+01 -1.2818900e+01 -2.6800000e-08 i
9.1000000e+01 -1.2768900e+01 -5.7800000e-11 i
9.1000000e+01 -1.2718900e+01 0.0000000e+00 i
9.1000000e+01 -1.2668900e+01 0.0000000e+00 i
9.1000000e+01 -1.2618900e+01 0.0000000e+00 i
9.1000000e+01 -1.2568900e+01 0.0000000e+00 i
