B (mT) - Plot 0	Amplitude - Plot 0	
690	0.0206026	
691	0.0102249	
692	0.0152382	
693	0.011366	
694	0.0115513	
695	0.0122258	
696	0.0162111	
697	0.0136321	
698	0.00911266	
699	0.00697895	
700	0.0058675	
701	0.00462824	
702	0.00284504	
703	0.00240836	
704	0.00227013	
705	0.00234984	
706	0.00267261	
707	0.00289867	
708	0.00259446	
709	0.00345603	
710	0.00349301	
711	0.00379667	
712	0.0037468	
713	0.00434629	
714	0.00614829	
715	0.00625931	
716	0.00713823	
717	0.00800974	
718	0.00881141	
719	0.00900127	
720	0.00947546	
721	0.0117049	
722	0.0126365	
723	0.0154022	
724	0.0165189	
725	0.0177068	
726	0.0179426	
727	0.0190851	
728	0.0202008	
729	0.0199401	
730	0.0203177	
731	0.0207082	
732	0.0210698	
733	0.0212542	
734	0.0207076	
735	0.0182105	
736	0.0187442	
737	0.0112408	
738	0.00740959	
739	0.011025	
740	0.0165099	
741	0.0161921	
742	0.0152314	
743	0.0102569	
744	0.00332362	
745	-0.00276345	
746	-0.0067318	
747	-0.0121983	
748	-0.0184378	
749	-0.0219598	
750	-0.0205697	
751	-0.0203032	
752	-0.0239364	
753	-0.0270503	
754	-0.0297223	
755	-0.0311825	
756	-0.0347945	
757	-0.0386203	
758	-0.0399124	
759	-0.0407088	
760	-0.0406504	
761	-0.0414006	
762	-0.042173	
763	-0.0417694	
764	-0.0413196	
765	-0.0393581	
766	-0.0331236	
767	-0.0297721	
768	-0.020105	
769	-0.0121849	
770	-0.0122028	
771	-0.00946884	
772	-0.00633256	
773	-0.00307828	
774	-0.00269445	
775	-0.00513476	
776	-0.00368583	
777	-0.0027631	
778	-0.001159	
779	-0.000488725	
780	-0.000550626	
781	-0.000513349	
782	-0.000524709	
783	-0.000716697	
784	-0.000641536	
785	-0.000782884	
786	-0.00101667	
787	-0.00117051	
788	-0.00135152	
789	-0.00169256	
790	-0.00204102	
791	-0.00212643	
792	-0.0021981	
793	-0.00242657	
794	-0.0025755	
795	-0.00265063	
796	-0.00270806	
797	-0.00271135	
798	-0.00294795	
799	-0.00314409	
800	-0.00363218	
801	-0.00412984	
802	-0.00388702	
803	-0.0038515	
804	-0.00393202	
805	-0.00415128	
806	-0.00454175	
807	-0.00504795	
808	-0.00518301	
809	-0.00506414	
810	-0.00513663	
811	-0.00537172	
812	-0.00554707	
813	-0.00560248	
814	-0.0058214	
815	-0.00628193	
816	-0.00645165	
817	-0.00649443	
818	-0.00638744	
819	-0.00663751	
820	-0.0065359	
821	-0.0067848	
822	-0.0071126	
823	-0.00707755	
824	-0.00738758	
825	-0.00779744	
826	-0.00838004	
827	-0.00852933	
828	-0.00846563	
829	-0.00838308	
830	-0.00855484	
831	-0.00869005	
832	-0.00870434	
833	-0.00884597	
834	-0.00909917	
835	-0.00935438	
836	-0.00965007	
837	-0.009876	
838	-0.00965239	
839	-0.00975428	
840	-0.00989522	
841	-0.0102458	
842	-0.010382	
843	-0.0105915	
844	-0.0107245	
845	-0.0108287	
846	-0.0111443	
847	-0.0110715	
848	-0.011106	
849	-0.0108856	
850	-0.0106544	
851	-0.0112011	
852	-0.0116876	
853	-0.0121602	
854	-0.0121026	
855	-0.0120688	
856	-0.0124751	
857	-0.0123636	
858	-0.0124468	
859	-0.0124613	
860	-0.0124336	
861	-0.0124013	
862	-0.0126183	
863	-0.012805	
864	-0.0128559	
865	-0.0129833	
866	-0.0132457	
867	-0.0132949	
868	-0.0137171	
869	-0.014057	
870	-0.014074	
871	-0.0136762	
872	-0.0131574	
873	-0.0132585	
874	-0.0138231	
875	-0.0138566	
876	-0.0141028	
877	-0.0149134	
878	-0.0152454	
879	-0.0156264	
880	-0.0157601	
