  # energy grid [eV]     epsr     epsi
       0.001000      -0.127430       0.000011
       0.017693      -0.120182      -0.000065
       0.034386      -0.120191      -0.000142
       0.051078      -0.120231      -0.000218
       0.067771      -0.120290      -0.000295
       0.084464      -0.120367      -0.000372
       0.101157      -0.120461      -0.000450
       0.117850      -0.120572      -0.000528
       0.134543      -0.120701      -0.000606
       0.151235      -0.120847      -0.000685
       0.167928      -0.121011      -0.000765
       0.184621      -0.121193      -0.000845
       0.201314      -0.121392      -0.000926
       0.218007      -0.121609      -0.001008
       0.234699      -0.121845      -0.001091
       0.251392      -0.122099      -0.001175
       0.268085      -0.122372      -0.001260
       0.284778      -0.122663      -0.001346
       0.301471      -0.122974      -0.001434
       0.318164      -0.123305      -0.001523
       0.334856      -0.123655      -0.001614
       0.351549      -0.124025      -0.001706
       0.368242      -0.124416      -0.001799
       0.384935      -0.124828      -0.001895
       0.401628      -0.125261      -0.001993
       0.418321      -0.125716      -0.002092
       0.435013      -0.126194      -0.002194
       0.451706      -0.126694      -0.002298
       0.468399      -0.127217      -0.002405
       0.485092      -0.127764      -0.002514
       0.501785      -0.128335      -0.002626
       0.518477      -0.128932      -0.002741
       0.535170      -0.129554      -0.002859
       0.551863      -0.130202      -0.002980
       0.568556      -0.130877      -0.003104
       0.585249      -0.131580      -0.003232
       0.601942      -0.132312      -0.003364
       0.618634      -0.133074      -0.003500
       0.635327      -0.133865      -0.003640
       0.652020      -0.134688      -0.003785
       0.668713      -0.135544      -0.003935
       0.685406      -0.136433      -0.004089
       0.702098      -0.137356      -0.004249
       0.718791      -0.138315      -0.004415
       0.735484      -0.139311      -0.004586
       0.752177      -0.140346      -0.004764
       0.768870      -0.141420      -0.004949
       0.785563      -0.142535      -0.005140
       0.802255      -0.143694      -0.005340
       0.818948      -0.144896      -0.005547
       0.835641      -0.146145      -0.005762
       0.852334      -0.147443      -0.005987
       0.869027      -0.148790      -0.006221
       0.885720      -0.150190      -0.006466
       0.902412      -0.151644      -0.006721
       0.919105      -0.153156      -0.006988
       0.935798      -0.154727      -0.007267
       0.952491      -0.156360      -0.007559
       0.969184      -0.158058      -0.007865
       0.985876      -0.159825      -0.008186
       1.002569      -0.161663      -0.008524
       1.019262      -0.163577      -0.008878
       1.035955      -0.165569      -0.009251
       1.052648      -0.167645      -0.009643
       1.069341      -0.169808      -0.010057
       1.086033      -0.172063      -0.010493
       1.102726      -0.174415      -0.010953
       1.119419      -0.176870      -0.011441
       1.136112      -0.179432      -0.011956
       1.152805      -0.182110      -0.012502
       1.169497      -0.184908      -0.013082
       1.186190      -0.187835      -0.013697
       1.202883      -0.190899      -0.014351
       1.219576      -0.194107      -0.015048
       1.236269      -0.197470      -0.015791
       1.252962      -0.200996      -0.016585
       1.269654      -0.204698      -0.017433
       1.286347      -0.208588      -0.018341
       1.303040      -0.212677      -0.019315
       1.319733      -0.216980      -0.020361
       1.336426      -0.221514      -0.021487
       1.353119      -0.226294      -0.022701
       1.369811      -0.231340      -0.024011
       1.386504      -0.236672      -0.025429
       1.403197      -0.242313      -0.026966
       1.419890      -0.248289      -0.028636
       1.436583      -0.254627      -0.030453
       1.453275      -0.261358      -0.032437
       1.469968      -0.268518      -0.034608
       1.486661      -0.276143      -0.036988
       1.503354      -0.284278      -0.039606
       1.520047      -0.292971      -0.042494
       1.536740      -0.302276      -0.045689
       1.553432      -0.312255      -0.049236
       1.570125      -0.322977      -0.053187
       1.586818      -0.334520      -0.057605
       1.603511      -0.346974      -0.062564
       1.620204      -0.360442      -0.068155
       1.636896      -0.375038      -0.074488
       1.653589      -0.390897      -0.081697
       1.670282      -0.408171      -0.089947
       1.686975      -0.427035      -0.099444
       1.703668      -0.447691      -0.110446
       1.720361      -0.470367      -0.123281
       1.737053      -0.495325      -0.138369
       1.753746      -0.522858      -0.156256
       1.770439      -0.553284      -0.177660
       1.787132      -0.586926      -0.203538
       1.803825      -0.624062      -0.235164
       1.820518      -0.664854      -0.274223
       1.837210      -0.709244      -0.322938
       1.853903      -0.756749      -0.384291
       1.870596      -0.805994      -0.462314
       1.887289      -0.853746      -0.562240
       1.903982      -0.893357      -0.690072
       1.920674      -0.912692      -0.850782
       1.937367      -0.892603      -1.043674
       1.954060      -0.809988      -1.254290
       1.970753      -0.651122      -1.449034
       1.987446      -0.429620      -1.586674
       2.004139      -0.185208      -1.645426
       2.020831       0.042287      -1.635057
       2.037524       0.232973      -1.582102
       2.054217       0.386617      -1.512061
       2.070910       0.514732      -1.439717
       2.087603       0.628345      -1.366544
       2.104295       0.729863      -1.291012
       2.120988       0.821664      -1.216821
       2.137681       0.912472      -1.143407
       2.154374       1.005049      -1.059738
       2.171067       1.087135      -0.959185
       2.187760       1.146710      -0.853587
       2.204452       1.191229      -0.761027
       2.221145       1.242310      -0.683555
       2.237838       1.314793      -0.603066
       2.254531       1.404234      -0.495291
       2.271224       1.490004      -0.345303
       2.287917       1.546457      -0.154347
       2.304609       1.553274       0.062615
       2.321302       1.499484       0.282757
       2.337995       1.385637       0.478063
       2.354688       1.230336       0.621770
       2.371381       1.067340       0.705857
       2.388073       0.922931       0.747201
       2.404766       0.801550       0.768803
       2.421459       0.694655       0.782885
       2.438152       0.594703       0.789618
       2.454845       0.502531       0.786491
       2.471538       0.421192       0.777322
       2.488230       0.347769       0.767599
       2.504923       0.276867       0.757764
       2.521616       0.205563       0.745096
       2.538309       0.132962       0.726449
       2.555002       0.059316       0.697897
       2.571694      -0.011956       0.653781
       2.588387      -0.070548       0.590913
       2.605080      -0.103913       0.516582
       2.621773      -0.108482       0.446576
       2.638466      -0.092363       0.394001
       2.655159      -0.067433       0.362803
       2.671851      -0.042119       0.351566
       2.688544      -0.023167       0.359122
       2.705237      -0.020072       0.381974
       2.721930      -0.041244       0.408508
       2.738623      -0.085192       0.421079
       2.755316      -0.136694       0.406217
       2.772008      -0.173947       0.365826
       2.788701      -0.183824       0.317080
       2.805394      -0.169107       0.279396
       2.822087      -0.142620       0.263906
       2.838780      -0.119215       0.271815
       2.855472      -0.110334       0.296183
       2.872165      -0.120144       0.326798
       2.888858      -0.148029       0.356147
       2.905551      -0.193661       0.378172
       2.922244      -0.255315       0.384169
       2.938937      -0.324818       0.364549
       2.955629      -0.386730       0.315747
       2.972322      -0.425194       0.245958
       2.989015      -0.433794       0.171792
       3.005708      -0.417546       0.108350
       3.022401      -0.387230       0.063509
       3.039093      -0.353835       0.038038
       3.055786      -0.325392       0.027959
       3.072479      -0.306081       0.027512
       3.089172      -0.297135       0.031003
       3.105865      -0.297332       0.033445
       3.122558      -0.303703       0.032026
       3.139250      -0.314150       0.026036
       3.155943      -0.327648       0.013917
       3.172636      -0.340929      -0.006830
       3.189329      -0.348024      -0.035523
       3.206022      -0.344991      -0.066451
       3.222715      -0.333741      -0.093004
       3.239407      -0.320066      -0.112958
       3.256100      -0.308211      -0.129630
       3.272793      -0.296686      -0.147755
       3.289486      -0.279925      -0.167163
       3.306179      -0.255335      -0.181240
       3.322871      -0.228174      -0.182833
       3.339564      -0.208893      -0.171560
       3.356257      -0.205653      -0.155860
       3.372950      -0.217970      -0.148408
       3.389643      -0.236073      -0.158134
       3.406336      -0.246618      -0.184469
       3.423028      -0.240724      -0.217835
       3.439721      -0.218818      -0.246008
       3.456414      -0.188645      -0.261472
       3.473107      -0.159299      -0.263666
       3.489800      -0.137320      -0.256961
       3.506492      -0.124836      -0.248171
       3.523185      -0.119031      -0.242972
       3.539878      -0.114960      -0.242817
       3.556571      -0.109398      -0.245754
       3.573264      -0.101574      -0.249239
       3.589957      -0.092287      -0.250894
       3.606649      -0.084728      -0.249409
       3.623342      -0.082730      -0.247824
       3.640035      -0.085178      -0.252168
       3.656728      -0.086023      -0.264750
       3.673421      -0.080406      -0.282588
       3.690114      -0.067111      -0.301662
       3.706806      -0.046468      -0.318951
       3.723499      -0.019703      -0.331917
       3.740192       0.011358      -0.339384
       3.756885       0.046434      -0.340699
       3.773578       0.085295      -0.332213
       3.790270       0.122197      -0.309115
       3.806963       0.146802      -0.273370
       3.823656       0.153345      -0.235398
       3.840349       0.145693      -0.206274
       3.857042       0.133523      -0.190362
       3.873735       0.125178      -0.184267
       3.890427       0.123070      -0.181281
       3.907120       0.124474      -0.177053
       3.923813       0.126136      -0.171626
       3.940506       0.127543      -0.166850
       3.957199       0.130309      -0.163140
       3.973891       0.135533      -0.158483
       3.990584       0.141428      -0.150198
       4.007277       0.143803      -0.138508
       4.023970       0.140294      -0.127802
       4.040663       0.133487      -0.122795
       4.057356       0.128683      -0.124172
       4.074048       0.129600      -0.128442
       4.090741       0.135973      -0.130789
       4.107434       0.144173      -0.128710
       4.124127       0.150670      -0.123470
       4.140820       0.154625      -0.117910
       4.157513       0.157264      -0.113823
       4.174205       0.159894      -0.111537
       4.190898       0.163244      -0.111346
       4.207591       0.168924      -0.113979
       4.224284       0.180033      -0.118684
       4.240977       0.199071      -0.121725
       4.257669       0.225106      -0.117754
       4.274362       0.253694      -0.103446
       4.291055       0.280124      -0.078916
       4.307748       0.301151      -0.045783
       4.324441       0.314312      -0.006251
       4.341134       0.318250       0.036633
       4.357826       0.313282       0.080179
       4.374519       0.299894       0.123020
       4.391212       0.277651       0.163536
       4.407905       0.246969       0.198696
       4.424598       0.210586       0.226032
       4.441290       0.171806       0.245644
       4.457983       0.132053       0.259290
       4.474676       0.090512       0.267874
       4.491369       0.046235       0.269816
       4.508062       0.000586       0.262201
       4.524755      -0.042388       0.243240
       4.541447      -0.077479       0.214322
       4.558140      -0.101409       0.180139
       4.574833      -0.114559       0.145827
       4.591526      -0.119452       0.114495
       4.608219      -0.118651       0.087242
       4.624912      -0.113999       0.064242
       4.641604      -0.106825       0.045476
       4.658297      -0.098364       0.030865
       4.674990      -0.089890       0.019947
       4.691683      -0.082278       0.011723
       4.708376      -0.075673       0.005113
       4.725068      -0.069721      -0.000559
       4.741761      -0.063993      -0.005473
       4.758454      -0.058285      -0.009473
       4.775147      -0.052714      -0.012363
       4.791840      -0.047593      -0.014142
       4.808533      -0.043195      -0.015054
       4.825225      -0.039589      -0.015450
       4.841918      -0.036667      -0.015610
       4.858611      -0.034252      -0.015677
       4.875304      -0.032194      -0.015680
       4.891997      -0.030403      -0.015602
       4.908689      -0.028826      -0.015412
       4.925382      -0.027434      -0.015049
       4.942075      -0.026293      -0.014422
       4.958768      -0.025589      -0.013555
       4.975461      -0.025432      -0.012664
       4.992154      -0.025723      -0.011978
       5.008846      -0.026266      -0.011571
       5.025539      -0.026918      -0.011400
       5.042232      -0.027599      -0.011391
       5.058925      -0.028277      -0.011442
       5.075618      -0.029009      -0.011440
       5.092311      -0.029954      -0.011368
       5.109003      -0.031233      -0.011374
       5.125696      -0.032798      -0.011654
       5.142389      -0.034486      -0.012297
       5.159082      -0.036153      -0.013269
       5.175775      -0.037730      -0.014492
       5.192467      -0.039197      -0.015901
       5.209160      -0.040559      -0.017441
       5.225853      -0.041847      -0.019075
       5.242546      -0.043114      -0.020807
       5.259239      -0.044392      -0.022712
       5.275932      -0.045602      -0.024884
       5.292624      -0.046581      -0.027289
       5.309317      -0.047293      -0.029745
       5.326010      -0.047905      -0.032143
       5.342703      -0.048628      -0.034619
       5.359396      -0.049474      -0.037517
       5.376088      -0.050111      -0.041174
       5.392781      -0.049928      -0.045660
       5.409474      -0.048213      -0.050611
       5.426167      -0.044434      -0.055091
       5.442860      -0.038798      -0.057696
       5.459553      -0.032581      -0.057356
       5.476245      -0.027469      -0.054136
       5.492938      -0.024540      -0.048966
       5.509631      -0.024185      -0.042802
       5.526324      -0.026590      -0.036457
       5.543017      -0.031688      -0.030828
       5.559710      -0.038961      -0.026504
       5.576402      -0.048145      -0.023295
       5.593095      -0.060303      -0.021078
       5.609788      -0.077355      -0.021780
       5.626481      -0.099272      -0.030217
       5.643174      -0.120990      -0.051379
       5.659866      -0.133404      -0.085075
       5.676559      -0.129505      -0.123803
       5.693252      -0.109581      -0.157228
       5.709945      -0.080243      -0.178605
       5.726638      -0.049412      -0.187236
       5.743331      -0.022290      -0.186538
       5.760023      -0.000484      -0.180701
       5.776716       0.016505      -0.172723
