  # energy grid [eV]     epsr     epsi
       0.001000      -0.127430      -0.000020
       0.017693      -0.120182      -0.000097
       0.034386      -0.120191      -0.000173
       0.051078      -0.120231      -0.000250
       0.067771      -0.120290      -0.000327
       0.084464      -0.120367      -0.000404
       0.101157      -0.120461      -0.000481
       0.117850      -0.120572      -0.000559
       0.134543      -0.120701      -0.000638
       0.151235      -0.120847      -0.000717
       0.167928      -0.121011      -0.000796
       0.184621      -0.121192      -0.000877
       0.201314      -0.121392      -0.000958
       0.218007      -0.121609      -0.001040
       0.234699      -0.121845      -0.001123
       0.251392      -0.122099      -0.001207
       0.268085      -0.122371      -0.001292
       0.284778      -0.122663      -0.001378
       0.301471      -0.122974      -0.001466
       0.318164      -0.123304      -0.001555
       0.334856      -0.123655      -0.001646
       0.351549      -0.124025      -0.001738
       0.368242      -0.124416      -0.001832
       0.384935      -0.124828      -0.001927
       0.401628      -0.125261      -0.002025
       0.418321      -0.125716      -0.002125
       0.435013      -0.126193      -0.002227
       0.451706      -0.126693      -0.002331
       0.468399      -0.127216      -0.002438
       0.485092      -0.127763      -0.002547
       0.501785      -0.128335      -0.002659
       0.518477      -0.128931      -0.002774
       0.535170      -0.129553      -0.002892
       0.551863      -0.130201      -0.003013
       0.568556      -0.130877      -0.003137
       0.585249      -0.131580      -0.003265
       0.601942      -0.132312      -0.003398
       0.618634      -0.133073      -0.003534
       0.635327      -0.133865      -0.003674
       0.652020      -0.134688      -0.003819
       0.668713      -0.135543      -0.003968
       0.685406      -0.136432      -0.004123
       0.702098      -0.137355      -0.004283
       0.718791      -0.138314      -0.004449
       0.735484      -0.139311      -0.004620
       0.752177      -0.140345      -0.004798
       0.768870      -0.141419      -0.004983
       0.785563      -0.142535      -0.005175
       0.802255      -0.143693      -0.005374
       0.818948      -0.144896      -0.005581
       0.835641      -0.146145      -0.005797
       0.852334      -0.147442      -0.006022
       0.869027      -0.148789      -0.006256
       0.885720      -0.150189      -0.006501
       0.902412      -0.151644      -0.006756
       0.919105      -0.153155      -0.007023
       0.935798      -0.154726      -0.007303
       0.952491      -0.156359      -0.007595
       0.969184      -0.158057      -0.007902
       0.985876      -0.159824      -0.008223
       1.002569      -0.161662      -0.008560
       1.019262      -0.163576      -0.008915
       1.035955      -0.165568      -0.009288
       1.052648      -0.167644      -0.009680
       1.069341      -0.169807      -0.010094
       1.086033      -0.172062      -0.010531
       1.102726      -0.174414      -0.010992
       1.119419      -0.176868      -0.011479
       1.136112      -0.179431      -0.011995
       1.152805      -0.182108      -0.012541
       1.169497      -0.184907      -0.013121
       1.186190      -0.187834      -0.013737
       1.202883      -0.190897      -0.014391
       1.219576      -0.194105      -0.015088
       1.236269      -0.197468      -0.015832
       1.252962      -0.200995      -0.016625
       1.269654      -0.204697      -0.017474
       1.286347      -0.208586      -0.018383
       1.303040      -0.212675      -0.019357
       1.319733      -0.216978      -0.020404
       1.336426      -0.221511      -0.021530
       1.353119      -0.226292      -0.022744
       1.369811      -0.231337      -0.024055
       1.386504      -0.236670      -0.025473
       1.403197      -0.242311      -0.027011
       1.419890      -0.248286      -0.028681
       1.436583      -0.254624      -0.030500
       1.453275      -0.261355      -0.032484
       1.469968      -0.268514      -0.034655
       1.486661      -0.276140      -0.037036
       1.503354      -0.284274      -0.039655
       1.520047      -0.292967      -0.042544
       1.536740      -0.302272      -0.045740
       1.553432      -0.312250      -0.049288
       1.570125      -0.322972      -0.053240
       1.586818      -0.334515      -0.057658
       1.603511      -0.346968      -0.062619
       1.620204      -0.360435      -0.068211
       1.636896      -0.375031      -0.074545
       1.653589      -0.390889      -0.081755
       1.670282      -0.408162      -0.090007
       1.686975      -0.427025      -0.099506
       1.703668      -0.447679      -0.110510
       1.720361      -0.470354      -0.123347
       1.737053      -0.495310      -0.138438
