  # energy grid [eV]     epsr     epsi
       0.001000       3.309323       0.000044
       0.017693       3.340710       0.000777
       0.034386       3.341038       0.001510
       0.051078       3.341468       0.002244
       0.067771       3.342052       0.002980
       0.084464       3.342797       0.003717
       0.101157       3.343704       0.004457
       0.117850       3.344775       0.005200
       0.134543       3.346011       0.005945
       0.151235       3.347412       0.006694
       0.167928       3.348979       0.007448
       0.184621       3.350714       0.008206
       0.201314       3.352618       0.008969
       0.218007       3.354691       0.009737
       0.234699       3.356934       0.010512
       0.251392       3.359351       0.011293
       0.268085       3.361941       0.012082
       0.284778       3.364706       0.012878
       0.301471       3.367649       0.013682
       0.318164       3.370771       0.014495
       0.334856       3.374074       0.015318
       0.351549       3.377560       0.016150
       0.368242       3.381232       0.016993
       0.384935       3.385092       0.017848
       0.401628       3.389142       0.018714
       0.418321       3.393385       0.019593
       0.435013       3.397824       0.020485
       0.451706       3.402463       0.021391
       0.468399       3.407303       0.022312
       0.485092       3.412349       0.023249
       0.501785       3.417604       0.024203
       0.518477       3.423072       0.025173
       0.535170       3.428756       0.026162
       0.551863       3.434661       0.027170
       0.568556       3.440792       0.028199
       0.585249       3.447151       0.029248
       0.601942       3.453746       0.030320
       0.618634       3.460579       0.031415
       0.635327       3.467658       0.032536
       0.652020       3.474986       0.033682
       0.668713       3.482571       0.034855
       0.685406       3.490418       0.036057
       0.702098       3.498533       0.037289
       0.718791       3.506924       0.038553
       0.735484       3.515597       0.039850
       0.752177       3.524560       0.041182
       0.768870       3.533820       0.042551
       0.785563       3.543387       0.043959
       0.802255       3.553268       0.045408
       0.818948       3.563473       0.046900
       0.835641       3.574012       0.048438
       0.852334       3.584894       0.050023
       0.869027       3.596131       0.051659
       0.885720       3.607733       0.053348
       0.902412       3.619713       0.055094
       0.919105       3.632083       0.056899
       0.935798       3.644856       0.058767
       0.952491       3.658046       0.060702
       0.969184       3.671669       0.062708
       0.985876       3.685740       0.064788
       1.002569       3.700276       0.066948
       1.019262       3.715294       0.069193
       1.035955       3.730813       0.071526
       1.052648       3.746853       0.073956
       1.069341       3.763435       0.076486
       1.086033       3.780581       0.079125
       1.102726       3.798317       0.081880
       1.119419       3.816666       0.084757
       1.136112       3.835657       0.087767
       1.152805       3.855319       0.090917
       1.169497       3.875682       0.094219
       1.186190       3.896780       0.097684
       1.202883       3.918649       0.101323
       1.219576       3.941328       0.105151
       1.236269       3.964857       0.109181
       1.252962       3.989281       0.113431
       1.269654       4.014648       0.117918
       1.286347       4.041010       0.122663
       1.303040       4.068423       0.127686
       1.319733       4.096947       0.133014
       1.336426       4.126649       0.138674
       1.353119       4.157599       0.144697
       1.369811       4.189878       0.151117
       1.386504       4.223568       0.157974
       1.403197       4.258765       0.165313
       1.419890       4.295570       0.173183
       1.436583       4.334095       0.181643
       1.453275       4.374466       0.190759
       1.469968       4.416818       0.200606
       1.486661       4.461303       0.211273
       1.503354       4.508089       0.222862
       1.520047       4.557365       0.235492
       1.536740       4.609338       0.249304
       1.553432       4.664243       0.264465
       1.570125       4.722341       0.281174
       1.586818       4.783926       0.299669
       1.603511       4.849329       0.320241
       1.620204       4.918920       0.343245
       1.636896       4.993115       0.369119
       1.653589       5.072375       0.398410
       1.670282       5.157207       0.431811
