  # energy grid [eV]     epsr     epsi
       0.001000      -0.121139      -0.000006
       0.017693      -0.121344      -0.000049
       0.034386      -0.121359      -0.000093
       0.051078      -0.121384      -0.000136
       0.067771      -0.121418      -0.000180
       0.084464      -0.121462      -0.000223
       0.101157      -0.121516      -0.000267
       0.117850      -0.121580      -0.000311
       0.134543      -0.121653      -0.000355
       0.151235      -0.121736      -0.000400
       0.167928      -0.121829      -0.000444
       0.184621      -0.121932      -0.000489
       0.201314      -0.122044      -0.000534
       0.218007      -0.122167      -0.000580
       0.234699      -0.122300      -0.000625
       0.251392      -0.122443      -0.000671
       0.268085      -0.122597      -0.000718
       0.284778      -0.122760      -0.000764
       0.301471      -0.122935      -0.000812
       0.318164      -0.123119      -0.000859
       0.334856      -0.123314      -0.000908
       0.351549      -0.123520      -0.000956
       0.368242      -0.123737      -0.001006
       0.384935      -0.123965      -0.001056
       0.401628      -0.124204      -0.001106
       0.418321      -0.124455      -0.001157
       0.435013      -0.124716      -0.001209
       0.451706      -0.124990      -0.001262
       0.468399      -0.125275      -0.001315
       0.485092      -0.125572      -0.001370
       0.501785      -0.125881      -0.001425
       0.518477      -0.126203      -0.001481
       0.535170      -0.126536      -0.001538
       0.551863      -0.126883      -0.001596
       0.568556      -0.127243      -0.001655
       0.585249      -0.127616      -0.001715
       0.601942      -0.128002      -0.001777
       0.618634      -0.128402      -0.001839
       0.635327      -0.128816      -0.001903
       0.652020      -0.129245      -0.001968
       0.668713      -0.129688      -0.002035
       0.685406      -0.130146      -0.002103
       0.702098      -0.130619      -0.002173
       0.718791      -0.131108      -0.002244
       0.735484      -0.131612      -0.002318
       0.752177      -0.132134      -0.002393
       0.768870      -0.132672      -0.002470
       0.785563      -0.133227      -0.002549
       0.802255      -0.133800      -0.002630
       0.818948      -0.134391      -0.002713
       0.835641      -0.135000      -0.002799
       0.852334      -0.135629      -0.002887
       0.869027      -0.136278      -0.002978
       0.885720      -0.136947      -0.003072
       0.902412      -0.137637      -0.003168
       0.919105      -0.138348      -0.003268
       0.935798      -0.139082      -0.003371
       0.952491      -0.139839      -0.003477
       0.969184      -0.140620      -0.003588
       0.985876      -0.141425      -0.003702
       1.002569      -0.142256      -0.003820
       1.019262      -0.143114      -0.003943
       1.035955      -0.143998      -0.004070
       1.052648      -0.144912      -0.004203
       1.069341      -0.145855      -0.004340
       1.086033      -0.146829      -0.004484
       1.102726      -0.147834      -0.004633
       1.119419      -0.148874      -0.004789
       1.136112      -0.149948      -0.004952
       1.152805      -0.151058      -0.005123
       1.169497      -0.152207      -0.005302
       1.186190      -0.153395      -0.005489
       1.202883      -0.154625      -0.005686
       1.219576      -0.155899      -0.005893
       1.236269      -0.157219      -0.006111
       1.252962      -0.158587      -0.006340
       1.269654      -0.160007      -0.006583
       1.286347      -0.161480      -0.006840
       1.303040      -0.163010      -0.007112
       1.319733      -0.164601      -0.007402
       1.336426      -0.166255      -0.007710
       1.353119      -0.167977      -0.008038
       1.369811      -0.169772      -0.008389
       1.386504      -0.171643      -0.008766
       1.403197      -0.173597      -0.009170
       1.419890      -0.175639      -0.009605
       1.436583      -0.177776      -0.010076
       1.453275      -0.180015      -0.010586
       1.469968      -0.182363      -0.011141
       1.486661      -0.184830      -0.011747
       1.503354      -0.187426      -0.012412
       1.520047      -0.190163      -0.013144
       1.536740      -0.193051      -0.013953
       1.553432      -0.196107      -0.014854
       1.570125      -0.199344      -0.015863
       1.586818      -0.202783      -0.016999
       1.603511      -0.206440      -0.018289
       1.620204      -0.210339      -0.019766
       1.636896      -0.214500      -0.021471
       1.653589      -0.218946      -0.023461
       1.670282      -0.223692      -0.025809
       1.686975      -0.228743      -0.028611
       1.703668      -0.234078      -0.031991
       1.720361      -0.239622      -0.036100
       1.737053      -0.245204      -0.041096
       1.753746      -0.250506      -0.047070
       1.770439      -0.255059      -0.053868
       1.787132      -0.258462      -0.060845
       1.803825      -0.260982      -0.066843
       1.820518      -0.264155      -0.070974
       1.837210      -0.270319      -0.073911
       1.853903      -0.280993      -0.078253
       1.870596      -0.295664      -0.087244
       1.887289      -0.312351      -0.103374
       1.903982      -0.328412      -0.128678
       1.920674      -0.339511      -0.165022
       1.937367      -0.338598      -0.211909
       1.954060      -0.318110      -0.263318
       1.970753      -0.275258      -0.307494
       1.987446      -0.216438      -0.332347
       2.004139      -0.154499      -0.333508
       2.020831      -0.099880      -0.315626
       2.037524      -0.056304      -0.285876
       2.054217      -0.023435      -0.249066
       2.070910      -0.000351      -0.206929
       2.087603       0.011519      -0.159503
       2.104295       0.007637      -0.109575
       2.120988      -0.014257      -0.065848
       2.137681      -0.048139      -0.038021
       2.154374      -0.082022      -0.028297
       2.171067      -0.107218      -0.029660
       2.187760      -0.123488      -0.033561
       2.204452      -0.134520      -0.036089
       2.221145      -0.143121      -0.036502
       2.237838      -0.151106      -0.034664
       2.254531      -0.160271      -0.030786
       2.271224      -0.172515      -0.026011
       2.287917      -0.188970      -0.023181
       2.304609      -0.207674      -0.025878
       2.321302      -0.223917      -0.034399
       2.337995      -0.235164      -0.044982
       2.354688      -0.242866      -0.054339
       2.371381      -0.249261      -0.061966
       2.388073      -0.255201      -0.068445
       2.404766      -0.260708      -0.073714
       2.421459      -0.266360      -0.076802
       2.438152      -0.274412      -0.077048
       2.454845      -0.287942      -0.076182
       2.471538      -0.308082      -0.078483
       2.488230      -0.332369      -0.088068
       2.504923      -0.356473      -0.106009
       2.521616      -0.377464      -0.130600
       2.538309      -0.394754      -0.160078
       2.555002      -0.408540      -0.194137
       2.571694      -0.418386      -0.233955
       2.588387      -0.421171      -0.281560
       2.605080      -0.410004      -0.335658
       2.621773      -0.379613      -0.387825
       2.638466      -0.333139      -0.427252
       2.655159      -0.279712      -0.449320
       2.671851      -0.226337      -0.455702
       2.688544      -0.176742      -0.448464
       2.705237      -0.134949      -0.429772
       2.721930      -0.103929      -0.404381
       2.738623      -0.083026      -0.377420
       2.755316      -0.069675      -0.351660
       2.772008      -0.061596      -0.328097
       2.788701      -0.056842      -0.307310
       2.805394      -0.052462      -0.289267
       2.822087      -0.045088      -0.270568
       2.838780      -0.035890      -0.244498
       2.855472      -0.032275      -0.207360
       2.872165      -0.042278      -0.162125
       2.888858      -0.070400      -0.115486
       2.905551      -0.117657      -0.075426
       2.922244      -0.180791      -0.050143
       2.938937      -0.252050      -0.044262
       2.955629      -0.324320      -0.055941
       2.972322      -0.396561      -0.081285
       2.989015      -0.471921      -0.121238
       3.005708      -0.551130      -0.183709
       3.022401      -0.625727      -0.279955
       3.039093      -0.675478      -0.414881
       3.055786      -0.676117      -0.576864
       3.072479      -0.613997      -0.737470
       3.089172      -0.497171      -0.863306
       3.105865      -0.353369      -0.934270
       3.122558      -0.212718      -0.952815
       3.139250      -0.092610      -0.934472
       3.155943       0.001628      -0.894900
       3.172636       0.070412      -0.845929
       3.189329       0.116223      -0.796835
       3.206022       0.144444      -0.756149
       3.222715       0.165165      -0.728430
       3.239407       0.188740      -0.709926
       3.256100       0.218405      -0.690752
       3.272793       0.247375      -0.663330
       3.289486       0.265297      -0.630759
       3.306179       0.270240      -0.604849
       3.322871       0.272200      -0.593457
       3.339564       0.282675      -0.592255
       3.356257       0.303995      -0.590997
       3.372950       0.331037      -0.583376
       3.389643       0.357141      -0.568731
       3.406336       0.377006      -0.551984
       3.423028       0.392531      -0.542226
       3.439721       0.415238      -0.542855
       3.456414       0.455790      -0.544243
       3.473107       0.512849      -0.530863
       3.489800       0.573825      -0.493005
       3.506492       0.623286      -0.432803
       3.523185       0.653084      -0.361587
       3.539878       0.665303      -0.289792
       3.556571       0.665177      -0.220655
       3.573264       0.653993      -0.153865
       3.589957       0.630576      -0.092037
       3.606649       0.597024      -0.040291
       3.623342       0.559223      -0.001117
       3.640035       0.522858       0.027288
       3.656728       0.491079       0.049167
       3.673421       0.463830       0.069593
       3.690114       0.437232       0.092109
       3.706806       0.405991       0.115332
       3.723499       0.368773       0.134036
       3.740192       0.328729       0.144849
       3.756885       0.288890       0.147573
       3.773578       0.251357       0.141961
       3.790270       0.219986       0.128233
       3.806963       0.198865       0.110470
       3.823656       0.187649       0.095263
       3.840349       0.181565       0.086494
