  # energy grid [eV]     epsr     epsi
       0.001000       0.081890       0.000002
       0.017693       0.081912       0.000059
       0.034386       0.081932       0.000117
       0.051078       0.081965       0.000174
       0.067771       0.082010       0.000232
       0.084464       0.082068       0.000290
       0.101157       0.082139       0.000348
       0.117850       0.082223       0.000406
       0.134543       0.082320       0.000465
       0.151235       0.082430       0.000524
       0.167928       0.082553       0.000584
       0.184621       0.082689       0.000644
       0.201314       0.082839       0.000705
       0.218007       0.083002       0.000766
       0.234699       0.083179       0.000828
       0.251392       0.083369       0.000890
       0.268085       0.083574       0.000954
       0.284778       0.083792       0.001018
       0.301471       0.084025       0.001083
       0.318164       0.084272       0.001149
       0.334856       0.084534       0.001216
       0.351549       0.084811       0.001284
       0.368242       0.085104       0.001354
       0.384935       0.085411       0.001424
       0.401628       0.085735       0.001496
       0.418321       0.086074       0.001569
       0.435013       0.086430       0.001644
       0.451706       0.086802       0.001720
       0.468399       0.087192       0.001798
       0.485092       0.087598       0.001878
       0.501785       0.088023       0.001959
       0.518477       0.088466       0.002042
       0.535170       0.088927       0.002128
       0.551863       0.089407       0.002215
       0.568556       0.089907       0.002305
       0.585249       0.090427       0.002397
       0.601942       0.090968       0.002492
       0.618634       0.091530       0.002589
       0.635327       0.092113       0.002689
       0.652020       0.092719       0.002793
       0.668713       0.093348       0.002899
       0.685406       0.094001       0.003008
       0.702098       0.094678       0.003121
       0.718791       0.095381       0.003238
       0.735484       0.096109       0.003358
       0.752177       0.096865       0.003483
       0.768870       0.097648       0.003612
       0.785563       0.098460       0.003745
       0.802255       0.099302       0.003884
       0.818948       0.100175       0.004027
       0.835641       0.101080       0.004176
       0.852334       0.102018       0.004330
       0.869027       0.102991       0.004491
       0.885720       0.104000       0.004658
       0.902412       0.105046       0.004832
       0.919105       0.106131       0.005013
       0.935798       0.107256       0.005202
       0.952491       0.108423       0.005399
       0.969184       0.109635       0.005604
       0.985876       0.110892       0.005819
       1.002569       0.112197       0.006044
       1.019262       0.113553       0.006279
       1.035955       0.114961       0.006525
       1.052648       0.116423       0.006784
       1.069341       0.117944       0.007055
       1.086033       0.119525       0.007340
       1.102726       0.121169       0.007640
       1.119419       0.122881       0.007956
       1.136112       0.124662       0.008288
       1.152805       0.126518       0.008639
       1.169497       0.128451       0.009010
       1.186190       0.130467       0.009402
       1.202883       0.132570       0.009817
       1.219576       0.134765       0.010257
