  # energy grid [eV]     epsr     epsi
       0.001000      -0.121139       0.000000
       0.017693      -0.121344      -0.000043
       0.034386      -0.121359      -0.000087
       0.051078      -0.121384      -0.000130
       0.067771      -0.121418      -0.000174
       0.084464      -0.121462      -0.000217
       0.101157      -0.121516      -0.000261
       0.117850      -0.121579      -0.000305
       0.134543      -0.121653      -0.000350
       0.151235      -0.121736      -0.000394
       0.167928      -0.121829      -0.000438
       0.184621      -0.121932      -0.000483
       0.201314      -0.122044      -0.000528
       0.218007      -0.122167      -0.000574
       0.234699      -0.122300      -0.000620
       0.251392      -0.122443      -0.000666
       0.268085      -0.122596      -0.000712
       0.284778      -0.122760      -0.000759
       0.301471      -0.122934      -0.000806
       0.318164      -0.123119      -0.000854
       0.334856      -0.123314      -0.000902
       0.351549      -0.123520      -0.000951
       0.368242      -0.123737      -0.001001
       0.384935      -0.123965      -0.001051
       0.401628      -0.124204      -0.001101
       0.418321      -0.124454      -0.001153
       0.435013      -0.124716      -0.001205
       0.451706      -0.124989      -0.001257
       0.468399      -0.125274      -0.001311
       0.485092      -0.125571      -0.001365
       0.501785      -0.125880      -0.001420
       0.518477      -0.126202      -0.001477
       0.535170      -0.126536      -0.001534
       0.551863      -0.126883      -0.001592
       0.568556      -0.127242      -0.001651
       0.585249      -0.127615      -0.001712
       0.601942      -0.128001      -0.001773
       0.618634      -0.128402      -0.001836
       0.635327      -0.128816      -0.001900
       0.652020      -0.129244      -0.001965
       0.668713      -0.129687      -0.002032
       0.685406      -0.130145      -0.002101
       0.702098      -0.130618      -0.002171
       0.718791      -0.131107      -0.002242
       0.735484      -0.131611      -0.002316
       0.752177      -0.132132      -0.002391
       0.768870      -0.132670      -0.002468
       0.785563      -0.133225      -0.002547
       0.802255      -0.133798      -0.002629
       0.818948      -0.134389      -0.002713
       0.835641      -0.134999      -0.002799
       0.852334      -0.135628      -0.002887
       0.869027      -0.136276      -0.002978
       0.885720      -0.136945      -0.003072
       0.902412      -0.137635      -0.003169
       0.919105      -0.138346      -0.003270
       0.935798      -0.139080      -0.003373
       0.952491      -0.139837      -0.003480
       0.969184      -0.140618      -0.003591
       0.985876      -0.141423      -0.003705
       1.002569      -0.142254      -0.003824
       1.019262      -0.143111      -0.003947
       1.035955      -0.143996      -0.004075
       1.052648      -0.144909      -0.004208
       1.069341      -0.145852      -0.004347
       1.086033      -0.146825      -0.004491
       1.102726      -0.147831      -0.004641
       1.119419      -0.148870      -0.004798
       1.136112      -0.149944      -0.004962
       1.152805      -0.151054      -0.005133
       1.169497      -0.152202      -0.005313
       1.186190      -0.153390      -0.005501
       1.202883      -0.154620      -0.005699
       1.219576      -0.155894      -0.005907
       1.236269      -0.157213      -0.006126
       1.252962      -0.158581      -0.006357
       1.269654      -0.160000      -0.006601
       1.286347      -0.161473      -0.006859
       1.303040      -0.163003      -0.007133
       1.319733      -0.164593      -0.007424
       1.336426      -0.166247      -0.007734
       1.353119      -0.167968      -0.008064
       1.369811      -0.169762      -0.008417
       1.386504      -0.171632      -0.008796
       1.403197      -0.173585      -0.009202
       1.419890      -0.175626      -0.009640
       1.436583      -0.177762      -0.010114
       1.453275      -0.179999      -0.010627
       1.469968      -0.182346      -0.011185
       1.486661      -0.184811      -0.011795
       1.503354      -0.187405      -0.012464
       1.520047      -0.190139      -0.013200
       1.536740      -0.193025      -0.014014
       1.553432      -0.196077      -0.014921
       1.570125      -0.199310      -0.015935
       1.586818      -0.202744      -0.017078
       1.603511      -0.206396      -0.018376
       1.620204      -0.210287      -0.019860
       1.636896      -0.214440      -0.021575
       1.653589      -0.218875      -0.023575
       1.670282      -0.223608      -0.025934
       1.686975      -0.228642      -0.028747
       1.703668      -0.233955      -0.032139
       1.720361      -0.239470      -0.036260
       1.737053      -0.245016      -0.041265
       1.753746      -0.250272      -0.047241
       1.770439      -0.254769      -0.054029
       1.787132      -0.258111      -0.060976
       1.803825      -0.260576      -0.066921
       1.820518      -0.263712      -0.070976
